Club,Elo,From,To
Brighton,1601.42492676,2016-12-14,2016-12-17
Brighton,1607.9519043,2016-12-18,2016-12-27
Brighton,1612.79785156,2016-12-28,2017-01-02
Brighton,1619.0402832,2017-01-03,2017-01-03
Brighton,1619.0402832,2017-01-04,2017-01-08
Brighton,1619.0402832,2017-01-09,2017-01-14
Brighton,1604.3215332,2017-01-15,2017-01-20
Brighton,1609.34191895,2017-01-21,2017-01-24
Brighton,1612.42236328,2017-01-25,2017-02-02
Brighton,1597.87988281,2017-02-03,2017-02-05
Brighton,1596.28027344,2017-02-06,2017-02-11
Brighton,1599.81530762,2017-02-12,2017-02-12
Brighton,1599.81530762,2017-02-13,2017-02-14
Brighton,1594.23718262,2017-02-15,2017-02-15
Brighton,1591.39990234,2017-02-16,2017-02-16
Brighton,1592.50756836,2017-02-17,2017-02-18
Brighton,1600.96435547,2017-02-19,2017-02-19
Brighton,1600.96435547,2017-02-20,2017-02-21
Brighton,1603.28674316,2017-02-22,2017-02-22
Brighton,1604.01989746,2017-02-23,2017-02-23
Brighton,1598.94665527,2017-02-24,2017-02-25
Brighton,1605.60424805,2017-02-26,2017-02-26
Brighton,1605.60424805,2017-02-27,2017-02-28
Brighton,1596.39111328,2017-03-01,2017-03-04
Brighton,1577.04833984,2017-03-05,2017-03-07
Brighton,1580.48205566,2017-03-08,2017-03-09
Brighton,1580.99279785,2017-03-10,2017-03-10
Brighton,1588.69702148,2017-03-11,2017-03-14
Brighton,1594.85241699,2017-03-15,2017-03-15
Brighton,1589.76574707,2017-03-16,2017-03-16
Brighton,1591.25744629,2017-03-17,2017-03-18
Brighton,1579.72167969,2017-03-19,2017-04-01
Brighton,1582.96923828,2017-04-02,2017-04-04
Brighton,1586.9119873,2017-04-05,2017-04-07
Brighton,1593.53320312,2017-04-08,2017-04-12
Brighton,1593.1171875,2017-04-13,2017-04-13
Brighton,1593.58007812,2017-04-14,2017-04-14
Brighton,1603.11608887,2017-04-15,2017-04-17
Brighton,1604.9251709,2017-04-18,2017-04-18
Brighton,1604.39038086,2017-04-19,2017-04-19
Brighton,1604.39038086,2017-04-20,2017-04-20
Brighton,1605.85913086,2017-04-21,2017-04-21
Brighton,1593.8729248,2017-04-22,2017-04-29
Brighton,1579.78125,2017-04-30,2017-05-04
Brighton,1581.53674316,2017-05-05,2017-05-07
Brighton,1580.61877441,2017-05-08,2017-05-11
Brighton,1580.71923828,2017-05-12,2017-05-24
Brighton,1583.46447754,2017-05-25,2017-07-01
Brighton,1583.46447754,2017-07-02,2017-07-27
Brighton,1583.4777832,2017-07-28,2017-08-03
Brighton,1583.79980469,2017-08-04,2017-08-12
Brighton,1579.07995605,2017-08-13,2017-08-15
