Club,Elo,From,To
Newcastle,1633.66955566,2016-10-02,2016-10-15
Newcastle,1639.30273438,2016-10-16,2016-10-16
Newcastle,1639.30273438,2016-10-17,2016-10-17
Newcastle,1639.30273438,2016-10-18,2016-10-18
Newcastle,1645.7590332,2016-10-19,2016-10-19
Newcastle,1644.87768555,2016-10-20,2016-10-20
Newcastle,1643.57507324,2016-10-21,2016-10-22
Newcastle,1649.50366211,2016-10-23,2016-10-23
Newcastle,1649.50366211,2016-10-24,2016-10-29
Newcastle,1654.74890137,2016-10-30,2016-10-30
Newcastle,1654.74890137,2016-10-31,2016-10-31
Newcastle,1654.74890137,2016-11-01,2016-11-01
Newcastle,1660.10803223,2016-11-02,2016-11-02
Newcastle,1655.74804688,2016-11-03,2016-11-03
Newcastle,1653.92651367,2016-11-04,2016-11-05
Newcastle,1656.25146484,2016-11-06,2016-11-06
Newcastle,1656.25146484,2016-11-07,2016-11-18
Newcastle,1656.25146484,2016-11-19,2016-11-19
Newcastle,1656.25146484,2016-11-20,2016-11-20
Newcastle,1663.36877441,2016-11-21,2016-11-21
Newcastle,1663.36877441,2016-11-22,2016-11-22
Newcastle,1662.16149902,2016-11-23,2016-11-23
Newcastle,1661.06665039,2016-11-24,2016-11-24
Newcastle,1659.85778809,2016-11-25,2016-11-26
Newcastle,1645.23144531,2016-11-27,2016-11-28
Newcastle,1645.23144531,2016-11-29,2016-12-02
Newcastle,1633.55554199,2016-12-03,2016-12-03
Newcastle,1633.55554199,2016-12-04,2016-12-04
Newcastle,1633.55554199,2016-12-05,2016-12-06
Newcastle,1634.01428223,2016-12-07,2016-12-07
Newcastle,1631.33911133,2016-12-08,2016-12-08
Newcastle,1631.61120605,2016-12-09,2016-12-09
Newcastle,1631.61120605,2016-12-10,2016-12-10
Newcastle,1637.91577148,2016-12-11,2016-12-11
Newcastle,1637.91577148,2016-12-12,2016-12-14
Newcastle,1642.72827148,2016-12-15,2016-12-16
Newcastle,1642.72827148,2016-12-17,2016-12-17
Newcastle,1646.13781738,2016-12-18,2016-12-18
Newcastle,1646.13781738,2016-12-19,2016-12-26
Newcastle,1633.53820801,2016-12-27,2016-12-30
Newcastle,1636.96057129,2016-12-31,2016-12-31
Newcastle,1636.96057129,2017-01-01,2017-01-02
Newcastle,1624.84985352,2017-01-03,2017-01-14
Newcastle,1630.53845215,2017-01-15,2017-01-15
Newcastle,1630.53845215,2017-01-16,2017-01-21
Newcastle,1633.46166992,2017-01-22,2017-01-22
Newcastle,1633.46166992,2017-01-23,2017-02-01
Newcastle,1626.9798584,2017-02-02,2017-02-04
Newcastle,1631.45202637,2017-02-05,2017-02-05
Newcastle,1631.45202637,2017-02-06,2017-02-11
Newcastle,1636.79980469,2017-02-12,2017-02-14
Newcastle,1636.01391602,2017-02-15,2017-02-15
Newcastle,1633.17663574,2017-02-16,2017-02-16
Newcastle,1634.28417969,2017-02-17,2017-02-18
Newcastle,1634.28417969,2017-02-19,2017-02-19
Newcastle,1634.28417969,2017-02-20,2017-02-20
Newcastle,1637.94812012,2017-02-21,2017-02-21
Newcastle,1640.27050781,2017-02-22,2017-02-22
Newcastle,1641.00366211,2017-02-23,2017-02-23
Newcastle,1635.93041992,2017-02-24,2017-02-25
Newcastle,1628.68518066,2017-02-26,2017-02-28
Newcastle,1637.89831543,2017-03-01,2017-03-04
Newcastle,1646.85961914,2017-03-05,2017-03-05
Newcastle,1646.85961914,2017-03-06,2017-03-07
Newcastle,1643.05383301,2017-03-08,2017-03-08
Newcastle,1643.05383301,2017-03-09,2017-03-09
Newcastle,1643.56445312,2017-03-10,2017-03-10
Newcastle,1643.56445312,2017-03-11,2017-03-11
Newcastle,1625.20202637,2017-03-12,2017-03-12
Newcastle,1625.20202637,2017-03-13,2017-03-13
Newcastle,1625.20202637,2017-03-14,2017-03-14
Newcastle,1631.35742188,2017-03-15,2017-03-15
Newcastle,1626.27062988,2017-03-16,2017-03-16
Newcastle,1627.76245117,2017-03-17,2017-03-18
Newcastle,1623.45532227,2017-03-19,2017-04-01
Newcastle,1625.15380859,2017-04-02,2017-04-02
Newcastle,1625.15380859,2017-04-03,2017-04-04
