Club,Elo,From,To
Southampton,1768.63977051,2016-08-25,2016-08-25
Southampton,1761.55285645,2016-08-26,2016-08-27
Southampton,1756.80163574,2016-08-28,2016-08-28
Southampton,1756.80163574,2016-08-29,2016-09-09
Southampton,1756.80163574,2016-09-10,2016-09-10
Southampton,1752.06225586,2016-09-11,2016-09-13
Southampton,1753.21813965,2016-09-14,2016-09-14
Southampton,1755.28210449,2016-09-15,2016-09-15
Southampton,1760.19018555,2016-09-16,2016-09-18
Southampton,1765.01123047,2016-09-19,2016-09-21
Southampton,1765.01123047,2016-09-22,2016-09-25
Southampton,1777.1784668,2016-09-26,2016-09-27
Southampton,1781.64794922,2016-09-28,2016-09-28
Southampton,1780.86938477,2016-09-29,2016-09-29
Southampton,1776.41308594,2016-09-30,2016-10-02
Southampton,1778.65905762,2016-10-03,2016-10-15
Southampton,1778.65905762,2016-10-16,2016-10-16
Southampton,1783.87011719,2016-10-17,2016-10-18
Southampton,1785.25512695,2016-10-19,2016-10-19
Southampton,1784.3737793,2016-10-20,2016-10-20
Southampton,1773.66015625,2016-10-21,2016-10-23
Southampton,1777.72753906,2016-10-24,2016-10-26
Southampton,1777.72753906,2016-10-27,2016-10-30
Southampton,1765.84619141,2016-10-31,2016-11-01
Southampton,1771.2052002,2016-11-02,2016-11-02
Southampton,1766.84533691,2016-11-03,2016-11-03
Southampton,1768.48693848,2016-11-04,2016-11-05
Southampton,1768.48693848,2016-11-06,2016-11-06
Southampton,1756.56408691,2016-11-07,2016-11-19
Southampton,1757.4909668,2016-11-20,2016-11-22
Southampton,1756.28381348,2016-11-23,2016-11-23
Southampton,1755.18896484,2016-11-24,2016-11-24
Southampton,1744.82983398,2016-11-25,2016-11-26
Southampton,1744.82983398,2016-11-27,2016-11-27
Southampton,1750.58300781,2016-11-28,2016-12-03
Southampton,1732.67956543,2016-12-04,2016-12-06
Southampton,1733.13830566,2016-12-07,2016-12-07
Southampton,1730.46313477,2016-12-08,2016-12-08
Southampton,1724.79382324,2016-12-09,2016-12-10
Southampton,1724.79382324,2016-12-11,2016-12-11
Southampton,1728.89624023,2016-12-12,2016-12-14
Southampton,1729.30065918,2016-12-15,2016-12-17
Southampton,1729.30065918,2016-12-18,2016-12-18
Southampton,1739.7623291,2016-12-19,2016-12-26
Southampton,1739.7623291,2016-12-27,2016-12-28
Southampton,1726.2109375,2016-12-29,2016-12-31
Southampton,1714.78442383,2017-01-01,2017-01-02
Southampton,1703.15942383,2017-01-03,2017-01-06
Southampton,1703.15942383,2017-01-07,2017-01-14
Southampton,1694.82519531,2017-01-15,2017-01-15
Southampton,1694.82519531,2017-01-16,2017-01-21
Southampton,1694.82519531,2017-01-22,2017-01-22
Southampton,1706.86328125,2017-01-23,2017-01-27
