Club,Elo,From,To
Everton,1714.5559082,2016-05-06,2016-05-07
Everton,1708.16967773,2016-05-08,2016-05-11
Everton,1693.7421875,2016-05-12,2016-05-14
Everton,1693.7421875,2016-05-15,2016-05-15
Everton,1701.32958984,2016-05-16,2016-05-16
Everton,1701.32958984,2016-05-17,2016-05-18
Everton,1697.65905762,2016-05-19,2016-05-22
Everton,1697.65905762,2016-05-23,2016-05-25
Everton,1697.65905762,2016-05-26,2016-07-28
Everton,1696.51647949,2016-07-29,2016-08-03
Everton,1696.51647949,2016-08-04,2016-08-04
Everton,1697.95812988,2016-08-05,2016-08-13
Everton,1699.40625,2016-08-14,2016-08-14
Everton,1699.40625,2016-08-15,2016-08-16
Everton,1700.69262695,2016-08-17,2016-08-17
Everton,1700.69262695,2016-08-18,2016-08-18
Everton,1700.68884277,2016-08-19,2016-08-20
Everton,1709.14465332,2016-08-21,2016-08-21
Everton,1709.14465332,2016-08-22,2016-08-22
Everton,1709.14465332,2016-08-23,2016-08-23
Everton,1709.14465332,2016-08-24,2016-08-24
Everton,1709.16040039,2016-08-25,2016-08-25
Everton,1702.07336426,2016-08-26,2016-08-27
Everton,1707.81591797,2016-08-28,2016-09-11
Everton,1707.81591797,2016-09-12,2016-09-12
Everton,1721.11108398,2016-09-13,2016-09-13
Everton,1722.26708984,2016-09-14,2016-09-14
Everton,1724.33093262,2016-09-15,2016-09-15
Everton,1722.66308594,2016-09-16,2016-09-17
Everton,1728.40722656,2016-09-18,2016-09-18
Everton,1728.40722656,2016-09-19,2016-09-20
Everton,1728.40722656,2016-09-21,2016-09-24
Everton,1718.86450195,2016-09-25,2016-09-25
Everton,1718.86450195,2016-09-26,2016-09-27
Everton,1723.33398438,2016-09-28,2016-09-28
Everton,1722.55541992,2016-09-29,2016-09-29
Everton,1721.98278809,2016-09-30,2016-09-30
Everton,1718.50549316,2016-10-01,2016-10-15
Everton,1724.01574707,2016-10-16,2016-10-18
Everton,1725.40087891,2016-10-19,2016-10-19
Everton,1724.51953125,2016-10-20,2016-10-20
Everton,1723.21691895,2016-10-21,2016-10-22
Everton,1714.20019531,2016-10-23,2016-10-23
Everton,1714.20019531,2016-10-24,2016-10-29
Everton,1714.20019531,2016-10-30,2016-10-30
Everton,1721.85046387,2016-10-31,2016-11-01
Everton,1727.20959473,2016-11-02,2016-11-02
Everton,1722.84960938,2016-11-03,2016-11-03
Everton,1721.02807617,2016-11-04,2016-11-05
Everton,1711.93310547,2016-11-06,2016-11-19
Everton,1708.46520996,2016-11-20,2016-11-22
Everton,1707.25805664,2016-11-23,2016-11-23
Everton,1706.16320801,2016-11-24,2016-11-24
Everton,1704.95422363,2016-11-25,2016-11-26
Everton,1704.95422363,2016-11-27,2016-11-27
Everton,1699.2010498,2016-11-28,2016-11-28
Everton,1699.2010498,2016-11-29,2016-12-01
Everton,1699.2010498,2016-12-02,2016-12-03
Everton,1699.2010498,2016-12-04,2016-12-04
Everton,1699.67919922,2016-12-05,2016-12-06
Everton,1700.13806152,2016-12-07,2016-12-07
Everton,1697.46276855,2016-12-08,2016-12-08
Everton,1697.73498535,2016-12-09,2016-12-09
Everton,1697.73498535,2016-12-10,2016-12-10
Everton,1689.67504883,2016-12-11,2016-12-12
Everton,1689.67504883,2016-12-13,2016-12-13
Everton,1700.88476562,2016-12-14,2016-12-18
Everton,1700.88476562,2016-12-19,2016-12-19
Everton,1694.61279297,2016-12-20,2016-12-20
Everton,1694.61279297,2016-12-21,2016-12-21
Everton,1694.61279297,2016-12-22,2016-12-22
Everton,1694.61279297,2016-12-23,2016-12-26
Everton,1710.22485352,2016-12-27,2016-12-30
Everton,1707.39562988,2016-12-31,2017-01-02
Everton,1719.02050781,2017-01-03,2017-01-08
Everton,1719.02050781,2017-01-09,2017-01-15
Everton,1738.72241211,2017-01-16,2017-01-21
Everton,1744.7956543,2017-01-22,2017-02-01
Everton,1745.0065918,2017-02-02,2017-02-04
Everton,1751.09399414,2017-02-05,2017-02-11
Everton,1748.66113281,2017-02-12,2017-02-15
Everton,1745.82385254,2017-02-16,2017-02-16
Everton,1746.93139648,2017-02-17,2017-02-21
Everton,1749.25378418,2017-02-22,2017-02-22
Everton,1749.98706055,2017-02-23,2017-02-23
Everton,1744.91369629,2017-02-24,2017-02-25
Everton,1749.45361328,2017-02-26,2017-02-26
