Club,Elo,From,To
Brentford,1472.05432129,2016-12-14,2016-12-17
Brentford,1466.14318848,2016-12-18,2016-12-26
Brentford,1463.22839355,2016-12-27,2016-12-31
Brentford,1462.87133789,2017-01-01,2017-01-02
Brentford,1476.15124512,2017-01-03,2017-01-14
Brentford,1470.46264648,2017-01-15,2017-01-21
Brentford,1461.17529297,2017-01-22,2017-01-31
Brentford,1473.07824707,2017-02-01,2017-02-05
Brentford,1474.67785645,2017-02-06,2017-02-11
Brentford,1465.85925293,2017-02-12,2017-02-14
Brentford,1460.01745605,2017-02-15,2017-02-15
Brentford,1457.18017578,2017-02-16,2017-02-16
Brentford,1458.2878418,2017-02-17,2017-02-21
Brentford,1472.70300293,2017-02-22,2017-02-22
Brentford,1473.4362793,2017-02-23,2017-02-23
Brentford,1468.36303711,2017-02-24,2017-02-25
Brentford,1472.39526367,2017-02-26,2017-03-04
Brentford,1473.84631348,2017-03-05,2017-03-07
Brentford,1481.19299316,2017-03-08,2017-03-09
Brentford,1481.70361328,2017-03-10,2017-03-11
Brentford,1472.63464355,2017-03-12,2017-03-14
Brentford,1467.69055176,2017-03-15,2017-03-15
Brentford,1462.60388184,2017-03-16,2017-03-16
Brentford,1464.09558105,2017-03-17,2017-03-18
Brentford,1474.91772461,2017-03-19,2017-04-01
Brentford,1481.54943848,2017-04-02,2017-04-04
Brentford,1491.71679688,2017-04-05,2017-04-08
Brentford,1485.17333984,2017-04-09,2017-04-12
Brentford,1484.75732422,2017-04-13,2017-04-13
Brentford,1485.22021484,2017-04-14,2017-04-14
Brentford,1498.21887207,2017-04-15,2017-04-17
Brentford,1498.50073242,2017-04-18,2017-04-18
Brentford,1497.96594238,2017-04-19,2017-04-20
Brentford,1499.43469238,2017-04-21,2017-04-22
Brentford,1505.63037109,2017-04-23,2017-04-29
Brentford,1508.98095703,2017-04-30,2017-05-04
Brentford,1510.7364502,2017-05-05,2017-05-07
Brentford,1493.67980957,2017-05-08,2017-05-11
Brentford,1493.78039551,2017-05-12,2017-05-24
Brentford,1496.5255127,2017-05-25,2017-07-27
Brentford,1496.53881836,2017-07-28,2017-08-03
