Club,Elo,From,To
Sheffield United,1494.98413086,2018-09-30,2018-10-02
Sheffield United,1494.91503906,2018-10-03,2018-10-03
Sheffield United,1499.35925293,2018-10-04,2018-10-04
Sheffield United,1501.20910645,2018-10-05,2018-10-06
Sheffield United,1505.93322754,2018-10-07,2018-10-20
Sheffield United,1499.24291992,2018-10-21,2018-10-23
Sheffield United,1499.88452148,2018-10-24,2018-10-24
Sheffield United,1499.95031738,2018-10-25,2018-10-25
Sheffield United,1502.57043457,2018-10-26,2018-10-27
Sheffield United,1508.7755127,2018-10-28,2018-11-03
Sheffield United,1501.1895752,2018-11-04,2018-11-06
Sheffield United,1496.22387695,2018-11-07,2018-11-07
Sheffield United,1502.21630859,2018-11-08,2018-11-08
Sheffield United,1501.02807617,2018-11-09,2018-11-09
Sheffield United,1497.91931152,2018-11-10,2018-11-24
Sheffield United,1496.5645752,2018-11-25,2018-11-27
Sheffield United,1504.92163086,2018-11-28,2018-11-28
Sheffield United,1504.02502441,2018-11-29,2018-11-29
Sheffield United,1506.59863281,2018-11-30,2018-12-01
Sheffield United,1497.4432373,2018-12-02,2018-12-08
Sheffield United,1507.41772461,2018-12-09,2018-12-11
Sheffield United,1510.56359863,2018-12-12,2018-12-12
Sheffield United,1508.54492188,2018-12-13,2018-12-13
Sheffield United,1506.33581543,2018-12-14,2018-12-14
Sheffield United,1498.95214844,2018-12-15,2018-12-22
Sheffield United,1497.27844238,2018-12-23,2018-12-26
Sheffield United,1507.89489746,2018-12-27,2018-12-29
Sheffield United,1515.46520996,2018-12-30,2019-01-01
Sheffield United,1525.44787598,2019-01-02,2019-01-12
Sheffield United,1530.95532227,2019-01-13,2019-01-19
Sheffield United,1524.38269043,2019-01-20,2019-01-26
Sheffield United,1526.70275879,2019-01-27,2019-02-02
Sheffield United,1530.40673828,2019-02-03,2019-02-08
Sheffield United,1532.27319336,2019-02-09,2019-02-12
Sheffield United,1528.30297852,2019-02-13,2019-02-13
Sheffield United,1539.27160645,2019-02-14,2019-02-14
Sheffield United,1538.25390625,2019-02-15,2019-02-16
Sheffield United,1545.18383789,2019-02-17,2019-02-19
Sheffield United,1544.55200195,2019-02-20,2019-02-20
Sheffield United,1545.20556641,2019-02-21,2019-02-21
Sheffield United,1548.19433594,2019-02-22,2019-02-23
Sheffield United,1559.13256836,2019-02-24,2019-03-04
Sheffield United,1558.69494629,2019-03-05,2019-03-05
Sheffield United,1560.15759277,2019-03-06,2019-03-06
Sheffield United,1567.01220703,2019-03-07,2019-03-07
Sheffield United,1565.22607422,2019-03-08,2019-03-09
Sheffield United,1568.97473145,2019-03-10,2019-03-12
Sheffield United,1576.99938965,2019-03-13,2019-03-13
Sheffield United,1582.39001465,2019-03-14,2019-03-14
Sheffield United,1588.56787109,2019-03-15,2019-03-16
Sheffield United,1597.9777832,2019-03-17,2019-03-22
Sheffield United,1597.9777832,2019-03-23,2019-03-30
Sheffield United,1586.14746094,2019-03-31,2019-04-06
Sheffield United,1595.02087402,2019-04-07,2019-04-07
Sheffield United,1595.02087402,2019-04-08,2019-04-09
Sheffield United,1596.49328613,2019-04-10,2019-04-10
Sheffield United,1593.60681152,2019-04-11,2019-04-11
Sheffield United,1597.47924805,2019-04-12,2019-04-13
Sheffield United,1592.109375,2019-04-14,2019-04-16
Sheffield United,1590.29321289,2019-04-17,2019-04-17
Sheffield United,1591.6673584,2019-04-18,2019-04-18
Sheffield United,1593.8458252,2019-04-19,2019-04-19
Sheffield United,1599.12145996,2019-04-20,2019-04-21
Sheffield United,1599.12145996,2019-04-22,2019-04-22
Sheffield United,1611.91015625,2019-04-23,2019-04-23
Sheffield United,1611.91015625,2019-04-24,2019-04-26
Sheffield United,1611.91015625,2019-04-27,2019-04-27
Sheffield United,1614.64575195,2019-04-28,2019-04-28
Sheffield United,1614.64575195,2019-04-29,2019-04-30
Sheffield United,1611.24438477,2019-05-01,2019-05-01
Sheffield United,1607.29162598,2019-05-02,2019-05-02
Sheffield United,1610.56787109,2019-05-03,2019-05-05
Sheffield United,1609.73034668,2019-05-06,2019-05-07
Sheffield United,1617.56384277,2019-05-08,2019-05-08
Sheffield United,1622.6541748,2019-05-09,2019-05-09
Sheffield United,1623.55578613,2019-05-10,2019-05-10
Sheffield United,1623.55578613,2019-05-11,2019-05-18
Sheffield United,1623.55578613,2019-05-19,2019-07-01
Sheffield United,1623.55578613,2019-07-02,2019-07-18
Sheffield United,1623.55578613,2019-07-19,2019-07-25
Sheffield United,1623.56713867,2019-07-26,2019-07-27
Sheffield United,1623.56713867,2019-07-28,2019-07-30
Sheffield United,1623.56713867,2019-07-31,2019-08-01
Sheffield United,1623.57434082,2019-08-02,2019-08-08
Sheffield United,1623.74536133,2019-08-09,2019-08-10
Sheffield United,1627.45324707,2019-08-11,2019-08-11
Sheffield United,1627.45324707,2019-08-12,2019-08-15
Sheffield United,1627.55615234,2019-08-16,2019-08-17
Sheffield United,1627.55615234,2019-08-18,2019-08-18
Sheffield United,1637.00256348,2019-08-19,2019-08-20
Sheffield United,1637.00256348,2019-08-21,2019-08-22
Sheffield United,1639.97070312,2019-08-23,2019-08-24
Sheffield United,1632.89685059,2019-08-25,2019-08-25
Sheffield United,1632.89685059,2019-08-26,2019-08-28
Sheffield United,1632.89685059,2019-08-29,2019-08-29
Sheffield United,1634.08447266,2019-08-30,2019-08-31
Sheffield United,1641.10388184,2019-09-01,2019-09-01
Sheffield United,1641.10388184,2019-09-02,2019-09-14
Sheffield United,1632.60900879,2019-09-15,2019-09-15
Sheffield United,1632.60900879,2019-09-16,2019-09-17
Sheffield United,1623.12036133,2019-09-18,2019-09-18
Sheffield United,1624.36047363,2019-09-19,2019-09-19
Sheffield United,1624.59509277,2019-09-20,2019-09-21
Sheffield United,1642.6105957,2019-09-22,2019-09-24
Sheffield United,1642.6105957,2019-09-25,2019-09-25
Sheffield United,1642.6105957,2019-09-26,2019-09-28
Sheffield United,1641.03234863,2019-09-29,2019-09-29
Sheffield United,1641.03234863,2019-09-30,2019-10-01
Sheffield United,1635.40478516,2019-10-02,2019-10-02
Sheffield United,1637.71948242,2019-10-03,2019-10-03
Sheffield United,1639.50512695,2019-10-04,2019-10-04
Sheffield United,1639.50512695,2019-10-05,2019-10-05
Sheffield United,1641.37866211,2019-10-06,2019-10-06
Sheffield United,1641.37866211,2019-10-07,2019-10-18
Sheffield United,1641.37866211,2019-10-19,2019-10-19
Sheffield United,1641.37866211,2019-10-20,2019-10-21
Sheffield United,1653.6673584,2019-10-22,2019-10-22
Sheffield United,1656.80773926,2019-10-23,2019-10-23
Sheffield United,1660.8605957,2019-10-24,2019-10-24
Sheffield United,1662.80358887,2019-10-25,2019-10-25
Sheffield United,1662.80358887,2019-10-26,2019-10-26
Sheffield United,1666.6862793,2019-10-27,2019-10-31
Sheffield United,1666.6862793,2019-11-01,2019-11-02
Sheffield United,1679.20483398,2019-11-03,2019-11-05
Sheffield United,1678.51171875,2019-11-06,2019-11-06
Sheffield United,1678.0970459,2019-11-07,2019-11-07
Sheffield United,1679.02478027,2019-11-08,2019-11-09
Sheffield United,1685.03564453,2019-11-10,2019-11-10
Sheffield United,1685.03564453,2019-11-11,2019-11-23
Sheffield United,1685.03564453,2019-11-24,2019-11-24
Sheffield United,1687.52453613,2019-11-25,2019-11-26
Sheffield United,1686.47216797,2019-11-27,2019-11-27
Sheffield United,1683.77746582,2019-11-28,2019-11-28
Sheffield United,1674.70056152,2019-11-29,2019-12-01
Sheffield United,1678.54516602,2019-12-02,2019-12-05
Sheffield United,1665.66320801,2019-12-06,2019-12-06
Sheffield United,1665.66320801,2019-12-07,2019-12-08
Sheffield United,1673.58630371,2019-12-09,2019-12-10
Sheffield United,1675.77819824,2019-12-11,2019-12-11
Sheffield United,1675.52441406,2019-12-12,2019-12-12
Sheffield United,1677.64453125,2019-12-13,2019-12-13
Sheffield United,1677.64453125,2019-12-14,2019-12-14
Sheffield United,1685.52648926,2019-12-15,2019-12-17
Sheffield United,1685.52648926,2019-12-18,2019-12-21
Sheffield United,1694.46057129,2019-12-22,2019-12-22
