Club,Elo,From,To
West Brom,1648.24060059,2016-05-12,2016-05-14
West Brom,1648.24060059,2016-05-15,2016-05-15
West Brom,1651.61987305,2016-05-16,2016-05-18
West Brom,1647.94946289,2016-05-19,2016-05-21
West Brom,1647.94946289,2016-05-22,2016-07-14
West Brom,1647.94946289,2016-07-15,2016-07-21
West Brom,1647.94946289,2016-07-22,2016-07-26
West Brom,1647.94946289,2016-07-27,2016-07-28
West Brom,1646.80688477,2016-07-29,2016-08-02
West Brom,1646.80688477,2016-08-03,2016-08-03
West Brom,1646.80688477,2016-08-04,2016-08-04
West Brom,1648.24841309,2016-08-05,2016-08-05
West Brom,1648.24841309,2016-08-06,2016-08-13
West Brom,1657.60986328,2016-08-14,2016-08-16
West Brom,1658.89624023,2016-08-17,2016-08-18
West Brom,1658.89245605,2016-08-19,2016-08-19
West Brom,1658.89245605,2016-08-20,2016-08-20
West Brom,1650.43676758,2016-08-21,2016-08-22
West Brom,1650.43676758,2016-08-23,2016-08-23
West Brom,1650.43676758,2016-08-24,2016-08-24
West Brom,1650.45239258,2016-08-25,2016-08-25
West Brom,1643.36547852,2016-08-26,2016-08-27
West Brom,1643.36547852,2016-08-28,2016-08-28
West Brom,1640.58666992,2016-08-29,2016-09-03
West Brom,1640.58666992,2016-09-04,2016-09-09
West Brom,1640.58666992,2016-09-10,2016-09-10
West Brom,1633.28686523,2016-09-11,2016-09-11
West Brom,1633.28686523,2016-09-12,2016-09-12
West Brom,1633.28686523,2016-09-13,2016-09-13
West Brom,1634.44287109,2016-09-14,2016-09-14
West Brom,1636.50683594,2016-09-15,2016-09-15
West Brom,1634.83886719,2016-09-16,2016-09-17
West Brom,1646.1036377,2016-09-18,2016-09-19
West Brom,1646.1036377,2016-09-20,2016-09-20
West Brom,1646.1036377,2016-09-21,2016-09-21
West Brom,1646.1036377,2016-09-22,2016-09-24
West Brom,1647.48608398,2016-09-25,2016-09-25
West Brom,1647.48608398,2016-09-26,2016-09-27
West Brom,1651.95556641,2016-09-28,2016-09-28
West Brom,1651.17700195,2016-09-29,2016-09-29
West Brom,1650.60437012,2016-09-30,2016-09-30
West Brom,1650.60437012,2016-10-01,2016-10-01
West Brom,1651.42089844,2016-10-02,2016-10-15
West Brom,1654.89282227,2016-10-16,2016-10-16
West Brom,1654.89282227,2016-10-17,2016-10-18
West Brom,1656.27783203,2016-10-19,2016-10-19
West Brom,1655.39660645,2016-10-20,2016-10-20
West Brom,1654.09399414,2016-10-21,2016-10-22
West Brom,1651.1015625,2016-10-23,2016-10-23
West Brom,1651.1015625,2016-10-24,2016-10-29
West Brom,1642.40539551,2016-10-30,2016-11-01
West Brom,1647.76452637,2016-11-02,2016-11-02
West Brom,1643.40454102,2016-11-03,2016-11-03
West Brom,1641.58300781,2016-11-04,2016-11-05
West Brom,1641.58300781,2016-11-06,2016-11-06
West Brom,1654.74084473,2016-11-07,2016-11-19
West Brom,1654.74084473,2016-11-20,2016-11-21
West Brom,1668.2401123,2016-11-22,2016-11-22
West Brom,1667.03295898,2016-11-23,2016-11-23
West Brom,1665.93811035,2016-11-24,2016-11-24
West Brom,1664.72912598,2016-11-25,2016-11-26
West Brom,1663.44445801,2016-11-27,2016-11-27
West Brom,1663.44445801,2016-11-28,2016-12-01
West Brom,1663.44445801,2016-12-02,2016-12-03
West Brom,1672.27294922,2016-12-04,2016-12-04
West Brom,1672.27294922,2016-12-05,2016-12-06
West Brom,1672.73181152,2016-12-07,2016-12-07
West Brom,1670.05651855,2016-12-08,2016-12-08
West Brom,1670.32873535,2016-12-09,2016-12-11
West Brom,1667.68725586,2016-12-12,2016-12-14
West Brom,1675.91589355,2016-12-15,2016-12-16
West Brom,1675.91589355,2016-12-17,2016-12-17
West Brom,1666.05725098,2016-12-18,2016-12-18
West Brom,1666.05725098,2016-12-19,2016-12-20
West Brom,1666.05725098,2016-12-21,2016-12-26
West Brom,1663.57434082,2016-12-27,2016-12-31
West Brom,1675.00097656,2017-01-01,2017-01-02
West Brom,1680.51977539,2017-01-03,2017-01-08
